1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: E10000007BE97941
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 10 15:51:01 PDT 2022
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue May 10 15:51:01 PDT 2022
Total Mission Samples:  8192
Total Device Samples:  29721
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/16/22, 2:51:01 AM,C,6.612
5/16/22, 3:21:01 AM,C,6.109
5/16/22, 3:51:01 AM,C,5.607
5/16/22, 4:21:01 AM,C,5.104
5/16/22, 4:51:01 AM,C,4.098
5/16/22, 5:21:01 AM,C,3.092
5/16/22, 5:51:01 AM,C,3.092
5/16/22, 6:21:01 AM,C,3.595
5/16/22, 6:51:01 AM,C,5.104
5/16/22, 7:21:01 AM,C,6.109
5/16/22, 7:51:01 AM,C,9.627
5/16/22, 8:21:01 AM,C,13.141
5/16/22, 8:51:01 AM,C,15.649
5/16/22, 9:21:01 AM,C,16.651
5/16/22, 9:51:01 AM,C,20.659
5/16/22, 10:21:01 AM,C,20.659
5/16/22, 10:51:01 AM,C,24.662
5/16/22, 11:21:01 AM,C,26.162
5/16/22, 11:51:01 AM,C,22.161
5/16/22, 12:21:01 PM,C,25.662
5/16/22, 12:51:01 PM,C,26.162
5/16/22, 1:21:01 PM,C,22.661
5/16/22, 1:51:01 PM,C,26.662
5/16/22, 2:21:01 PM,C,21.16
5/16/22, 2:51:01 PM,C,24.662
5/16/22, 3:21:01 PM,C,20.659
5/16/22, 3:51:01 PM,C,20.158
5/16/22, 4:21:01 PM,C,18.155
5/16/22, 4:51:01 PM,C,18.656
5/16/22, 5:21:01 PM,C,19.157
5/16/22, 5:51:01 PM,C,17.654
5/16/22, 6:21:01 PM,C,17.654
5/16/22, 6:51:01 PM,C,15.147
5/16/22, 7:21:01 PM,C,13.642
5/16/22, 7:51:01 PM,C,12.137
5/16/22, 8:21:01 PM,C,9.125
5/16/22, 8:51:01 PM,C,7.115
5/16/22, 9:21:01 PM,C,6.109
5/16/22, 9:51:01 PM,C,5.104
5/16/22, 10:21:01 PM,C,5.104
5/16/22, 10:51:01 PM,C,4.098
5/16/22, 11:21:01 PM,C,4.098
5/16/22, 11:51:01 PM,C,3.595
5/17/22, 12:21:01 AM,C,3.595
5/17/22, 12:51:01 AM,C,3.092
5/17/22, 1:21:01 AM,C,2.588
5/17/22, 1:51:01 AM,C,2.588
5/17/22, 2:21:01 AM,C,1.582
5/17/22, 2:51:01 AM,C,1.078
5/17/22, 3:21:01 AM,C,1.078
5/17/22, 3:51:01 AM,C,0.071
5/17/22, 4:21:01 AM,C,0.071
5/17/22, 4:51:01 AM,C,-0.432
5/17/22, 5:21:01 AM,C,-0.432
5/17/22, 5:51:01 AM,C,-0.432
5/17/22, 6:21:01 AM,C,0.071
5/17/22, 6:51:01 AM,C,1.582
5/17/22, 7:21:01 AM,C,3.595
5/17/22, 7:51:01 AM,C,7.115
5/17/22, 8:21:01 AM,C,11.133
5/17/22, 8:51:01 AM,C,13.141
5/17/22, 9:21:01 AM,C,15.649
5/17/22, 9:51:01 AM,C,18.656
5/17/22, 10:21:01 AM,C,20.659
5/17/22, 10:51:01 AM,C,26.662
5/17/22, 11:21:01 AM,C,27.661
5/17/22, 11:51:01 AM,C,28.661
5/17/22, 12:21:01 PM,C,28.161
