fid,cat,field_1,stream,channel_type,latitude,longitude,max_depth_m,lwd_total,total_shade,undercut_bank_m,dominant_substrate,river_m
"73","73","74",Mahogany Creek,riffle,41.5419354263365,-119.005599020584,0.14,"1","81",3.5,sand,6154.69486555055
"74","74","75",Mahogany Creek,run,41.541928305901,-119.005490906431,0.23,"0","93",0,sand,6162.99357779519
"75","75","76",Mahogany Creek,riffle,41.5419203492327,-119.005430719362,0.21,"5","92",14.5,sand,6167.86657653191
"76","76","77",Mahogany Creek,scour_pool,41.5416090465178,-119.00520531054,0.31,"0","81",0.3,sand,6203.96390250868
"77","77","78",Mahogany Creek,riffle,41.5415816229102,-119.005228439356,0.16,"0","83",4,sand,6204.02380642093
"78","78","79",Mahogany Creek,run,41.5415552443575,-119.005191659653,0.21,"3","79",7.3,sand,6208.36578804699
"79","79","80",Mahogany Creek,scour_pool,41.532078239842,-118.993391894111,0.55,"1","27",6,sand,7963.81958331715
"80","80","81",Mahogany Creek,riffle,41.532133290181,-118.993333652678,0.14,"1","90",6,gravel,7971.69287088706
"81","81","82",Mahogany Creek,scour_pool,41.5321795462787,-118.993263154637,0.24,"0","92",3.5,gravel,7979.80385803859
"82","82","83",Mahogany Creek,riffle,41.5322245559885,-118.993264536891,0.15,"1","92",6.5,gravel,7982.84200644837
"83","83","84",Mahogany Creek,scour_pool,41.5322523927177,-118.993217445961,0.32,"1","55",0.77,sand,7988.04686273076
"84","84","85",Mahogany Creek,riffle,41.5322260100551,-118.993180676428,0.17,"2","99",3.25,sand,7988.76046238781
"85","85","86",Mahogany Creek,scour_pool,41.5322890236514,-118.993182611508,0.22,"2","63",6.15,sand,7993.01382430419
"86","86","87",Mahogany Creek,riffle,41.5323696256877,-118.993209059662,0.11,"0","92",8,sand,7996.79151244871
"87","87","88",Mahogany Creek,run,41.532344281604,-118.993112389622,0.23,"3","93",3,sand,8001.73252773388
"88","88","89",Mahogany Creek,scour_pool,41.5324165048567,-118.993102620973,0.32,"1","71",1,sand,8007.43907631375
"89","89","90",Mahogany Creek,riffle,41.5324169202784,-118.993078660769,0.17,"2","90",2,sand,8009.13004770556
"90","90","91",Mahogany Creek,scour_pool,41.532608453512,-118.992940704112,0.26,"1","42",0,sand,8032.03617954903
"91","91","92",Mahogany Creek,riffle,41.5326356670368,-118.992929553198,0.1,"4","94",15,sand,8034.70452786675
