fid,cat,field_1,date,julian_day,year,trip_numbe,tag_id,fork_lengt,weight_g,latitude,longitude,river_m
"19","19","19",2021/06/23 00:00:00,"174","2021",0,"33","142",32.1,41.54324,-119.00706,5984.80649364727
"20","20","20",2021/06/23 00:00:00,"174","2021",0,"36","216",113.5,41.54308,-119.00681,6010.94073567411
"21","21","21",2021/06/23 00:00:00,"174","2021",0,"37","122",19.9,41.54324,-119.00706,5984.80649364727
"22","22","22",2021/06/23 00:00:00,"174","2021",0,"40","128",22.7,41.54155,-119.00477,6239.30368894502
"23","23","23",2021/06/22 00:00:00,"173","2021",0,"11","127",22.9,41.53177,-118.99426,7855.37041408706
"24","24","24",2021/06/22 00:00:00,"173","2021",0,"12","127",22.9,41.52709,-118.98565,657.268477086313
"25","25","25",2021/06/22 00:00:00,"173","2021",0,"22","234",140.3,41.53192,-118.99353,7943.22130084327
"26","26","26",2021/06/22 00:00:00,"173","2021",0,"23","140",30.5,41.53289,-118.99067,8225.39438188481
"27","27","27",2021/06/22 00:00:00,"173","2021",0,"31","228",129.9,41.52522,-118.98525,866.414150011052
"28","28","28",2021/06/22 00:00:00,"173","2021",0,"38","152",39,41.53277,-118.99035,8253.17695724283
"29","29","29",2021/06/22 00:00:00,"173","2021",0,"39","164",48.8,41.53197,-118.99322,7968.20670276917
"30","30","30",2021/06/30 00:00:00,"181","2021",1,"13","190",58.5,41.5029,-118.97894,3606.36153810569
"31","31","31",2021/06/30 00:00:00,"181","2021",1,"15","135",29.6,41.50304,-118.97906,3588.004779217
"32","32","32",2021/06/30 00:00:00,"181","2021",1,"18","177",57.1,41.50283,-118.97885,3616.46640859905
"33","33","33",2021/06/30 00:00:00,"181","2021",1,"21","204",90.8,41.51205,-118.98547,2423.53713817112
"34","34","34",2021/06/30 00:00:00,"181","2021",1,"24","214",115.1,41.51323,-118.98619,2269.03833796688
"35","35","35",2021/06/29 00:00:00,"180","2021",1,"11","127",22.9,41.53172,-118.99395,7886.37706003718
"36","36","36",2021/06/29 00:00:00,"180","2021",1,"12","127",22.9,41.52695,-118.98557,674.321115840173
"37","37","37",2021/06/29 00:00:00,"180","2021",1,"17","138",30.4,41.51582,-118.95726,12455.9916988513
"38","38","38",2021/06/29 00:00:00,"180","2021",1,"19","128",23.3,41.51349,-118.95596,12737.7335127845
"39","39","39",2021/06/29 00:00:00,"180","2021",1,"22","234",140.3,41.53192,-118.99349,7945.99592004095
"40","40","40",2021/06/29 00:00:00,"180","2021",1,"23","140",30.5,41.53293,-118.99077,8216.68908269211
"41","41","41",2021/06/29 00:00:00,"180","2021",1,"26","241",153.3,41.53738,-119.00085,6844.59188594958
"42","42","42",2021/06/29 00:00:00,"180","2021",1,"27","168",53.8,41.53306,-118.99123,8179.18519505906
"43","43","43",2021/06/29 00:00:00,"180","2021",1,"28","197",80.7,41.53251,-118.98874,8413.78081767727
"44","44","44",2021/06/29 00:00:00,"180","2021",1,"29","121",17.3,41.51769,-118.98759,1729.11250012219
"45","45","45",2021/06/29 00:00:00,"180","2021",1,"31","228",129.9,41.52525,-118.98528,862.40176048755
"46","46","46",2021/06/29 00:00:00,"180","2021",1,"32","148",36.2,41.50941,-118.95538,13197.1134170243
"47","47","47",2021/06/29 00:00:00,"180","2021",1,"34","178",60.7,41.53733,-119.00082,6839.78380007894
"48","48","48",2021/06/29 00:00:00,"180","2021",1,"35","116",16,41.51748,-118.95763,12266.2342781708
"49","49","49",2021/06/29 00:00:00,"180","2021",1,"38","152",39,41.53139,-118.98865,93.3108742391039
"50","50","50",2021/06/29 00:00:00,"180","2021",1,"39","164",48.8,41.53205,-118.99329,7968.92140991542
"51","51","51",2021/06/28 00:00:00,"179","2021",1,"20","128",24.7,41.54123,-119.00474,6261.76912869048
"52","52","52",2021/06/28 00:00:00,"179","2021",1,"25","225",118.7,41.54094,-119.00442,6303.38177772405
"53","53","53",2021/06/28 00:00:00,"179","2021",1,"30","199",87.6,41.5431,-119.00681,6010.19734233019
"54","54","54",2021/06/28 00:00:00,"179","2021",1,"33","142",32.1,41.54327,-119.0071,5980.46148070981
"55","55","55",2021/06/28 00:00:00,"179","2021",1,"36","216",113.5,41.5431,-119.00681,6010.19734233019
"56","56","56",2021/06/28 00:00:00,"179","2021",1,"37","122",19.9,41.54319,-119.00708,5985.05003212556
"57","57","57",2021/06/28 00:00:00,"179","2021",1,"40","128",22.7,41.54123,-119.00474,6261.76912869048
"58","58","58",2021/07/07 00:00:00,"188","2021",2,"13","190",58.5,41.5055,-118.98013,3293.37296315535
"59","59","59",2021/07/07 00:00:00,"188","2021",2,"15","135",29.6,41.50314,-118.9791,3577.98926931652
"60","60","60",2021/07/07 00:00:00,"188","2021",2,"17","138",30.4,41.51582,-118.95726,12455.9916988513
"61","61","61",2021/07/07 00:00:00,"188","2021",2,"18","177",57.1,41.50288,-118.97883,3611.85153674708
"62","62","62",2021/07/07 00:00:00,"188","2021",2,"21","204",90.8,41.51205,-118.98548,2422.93568544228
"63","63","63",2021/07/07 00:00:00,"188","2021",2,"24","214",115.1,41.51319,-118.98618,2272.63750048358
"64","64","64",2021/07/07 00:00:00,"188","2021",2,"35","116",16,41.51748,-118.95763,12266.2342781708
"65","65","65",2021/07/06 00:00:00,"187","2021",2,"11","127",22.9,41.53173,-118.99396,7885.54261354201
"66","66","66",2021/07/06 00:00:00,"187","2021",2,"12","127",22.9,41.52699,-118.98556,670.364442694878
"67","67","67",2021/07/06 00:00:00,"187","2021",2,"20","128",24.7,41.54129,-119.00484,6250.70680517356
"68","68","68",2021/07/06 00:00:00,"187","2021",2,"22","234",140.3,41.53194,-118.99344,7950.85713002834
"69","69","69",2021/07/06 00:00:00,"187","2021",2,"23","140",30.5,41.53291,-118.99072,8221.0417412724
"70","70","70",2021/07/06 00:00:00,"187","2021",2,"25","225",118.7,41.54097,-119.00445,6299.30226874482
"71","71","71",2021/07/06 00:00:00,"187","2021",2,"27","168",53.8,41.53304,-118.99126,8176.34609736845
"72","72","72",2021/07/06 00:00:00,"187","2021",2,"28","197",80.7,41.53212,-118.99546,7744.970901398
"73","73","73",2021/07/06 00:00:00,"187","2021",2,"30","199",87.6,41.54302,-119.00677,6016.40086126989
"74","74","74",2021/07/06 00:00:00,"187","2021",2,"33","142",32.1,41.54324,-119.00706,5984.80649364727
"75","75","75",2021/07/06 00:00:00,"187","2021",2,"34","178",60.7,41.54153,-119.00529,6202.82841540853
"76","76","76",2021/07/06 00:00:00,"187","2021",2,"36","216",113.5,41.54302,-119.00677,6016.40086126989
"77","77","77",2021/07/06 00:00:00,"187","2021",2,"37","122",19.9,41.54324,-119.00706,5984.80649364727
"78","78","78",2021/07/06 00:00:00,"187","2021",2,"38","152",39,41.53172,-118.98888,52.5428299279154
"79","79","79",2021/07/06 00:00:00,"187","2021",2,"39","164",48.8,41.53209,-118.99329,7971.70663319317
"80","80","80",2021/07/20 00:00:00,"201","2021",3,"13","190",58.5,41.51041,-118.98359,2668.0816726486
"81","81","81",2021/07/20 00:00:00,"201","2021",3,"15","135",29.6,41.50307,-118.97906,3584.8652829539
"82","82","82",2021/07/20 00:00:00,"201","2021",3,"18","177",57.1,41.50281,-118.97882,3619.48582740671
"83","83","83",2021/07/20 00:00:00,"201","2021",3,"21","204",90.8,41.51202,-118.98544,2427.82733859769
"84","84","84",2021/07/20 00:00:00,"201","2021",3,"24","214",115.1,41.51332,-118.98614,2232.03391299798
"85","85","85",2021/07/19 00:00:00,"200","2021",3,"12","127",22.9,41.52697,-118.9856,671.367559153564
"86","86","86",2021/07/19 00:00:00,"200","2021",3,"17","138",30.4,41.51582,-118.95726,12455.9916988513
"87","87","87",2021/07/18 00:00:00,"199","2021",3,"20","128",24.7,41.54123,-119.00479,6258.1399524852
"88","88","88",2021/07/18 00:00:00,"199","2021",3,"22","234",140.3,41.53193,-118.99347,7948.0796245765
"89","89","89",2021/07/18 00:00:00,"199","2021",3,"23","140",30.5,41.53292,-118.99075,8218.44887689032
"90","90","90",2021/07/18 00:00:00,"199","2021",3,"25","225",118.7,41.54096,-119.00443,6301.38793780156
"91","91","91",2021/07/18 00:00:00,"199","2021",3,"28","197",80.7,41.53236,-118.99571,7713.45643245871
"92","92","92",2021/07/18 00:00:00,"199","2021",3,"33","142",32.1,41.54292,-119.00645,6045.95732162413
"93","93","93",2021/07/18 00:00:00,"199","2021",3,"34","178",60.7,41.54155,-119.00527,6203.01208734483
"94","94","94",2021/07/18 00:00:00,"199","2021",3,"36","216",113.5,41.543,-119.00671,6021.98916068755
"95","95","95",2021/07/18 00:00:00,"199","2021",3,"39","164",48.8,41.53207,-118.99332,7968.23304063756
"96","96","96",2021/07/28 00:00:00,"209","2021",4,"13","190",58.5,41.51036,-118.98363,2669.4916998579
"97","97","97",2021/07/28 00:00:00,"209","2021",4,"15","135",29.6,41.50306,-118.97906,3585.91198374137
"98","98","98",2021/07/28 00:00:00,"209","2021",4,"17","138",30.4,41.51582,-118.95726,12455.9916988513
"99","99","99",2021/07/28 00:00:00,"209","2021",4,"18","177",57.1,41.50284,-118.97884,3615.72869432665
"100","100","100",2021/07/28 00:00:00,"209","2021",4,"21","204",90.8,41.51201,-118.98544,2428.6559555524
"101","101","101",2021/07/28 00:00:00,"209","2021",4,"23","140",30.5,41.53292,-118.99077,8216.7821129014
"102","102","102",2021/07/28 00:00:00,"209","2021",4,"24","214",115.1,41.51328,-118.9861,2232.03391299798
"103","103","103",2021/07/28 00:00:00,"209","2021",4,"39","164",48.8,41.53207,-118.99332,7968.23304063756
"104","104","104",2021/07/27 00:00:00,"208","2021",4,"20","128",24.7,41.54122,-119.00478,6259.49977172974
"105","105","105",2021/07/27 00:00:00,"208","2021",4,"25","225",118.7,41.54094,-119.00444,6301.93009965093
"106","106","106",2021/07/27 00:00:00,"208","2021",4,"28","197",80.7,41.53237,-118.99585,7702.09636994266
"107","107","107",2021/07/27 00:00:00,"208","2021",4,"33","142",32.1,41.54102,-119.00459,6285.97059381842
"108","108","108",2021/07/27 00:00:00,"208","2021",4,"36","216",113.5,41.54302,-119.00676,6017.2083462031
"109","109","109",2021/08/13 00:00:00,"225","2021",5,"13","190",58.5,41.50872,-118.98218,2900.47177888467
"110","110","110",2021/08/13 00:00:00,"225","2021",5,"15","135",29.6,41.503,-118.97902,3593.42613815768
"111","111","111",2021/08/13 00:00:00,"225","2021",5,"18","177",57.1,41.50281,-118.97886,3618.25065107783
"112","112","112",2021/08/13 00:00:00,"225","2021",5,"21","204",90.8,41.51201,-118.98544,2428.6559555524
"113","113","113",2021/08/12 00:00:00,"224","2021",5,"17","138",30.4,41.51582,-118.95726,12455.9916988513
"114","114","114",2021/08/12 00:00:00,"224","2021",5,"25","225",118.7,41.54094,-119.00442,6303.38177772405
"115","115","115",2021/08/12 00:00:00,"224","2021",5,"33","142",32.1,41.54101,-119.00461,6285.15292629348
"116","116","116",2021/08/12 00:00:00,"224","2021",5,"34","178",60.7,41.54153,-119.00526,6205.0059079024
"117","117","117",2021/08/12 00:00:00,"224","2021",5,"36","216",113.5,41.54302,-119.00676,6017.2083462031
"118","118","118",2021/08/12 00:00:00,"224","2021",5,"40","128",22.7,41.54123,-119.00474,6261.76912869048
"119","119","119",2021/08/19 00:00:00,"231","2021",6,"17","138",30.4,41.51582,-118.95726,12455.9916988513
"120","120","120",2021/08/18 00:00:00,"230","2021",6,"13","190",58.5,41.50911,-118.9827,2837.31181759647
"121","121","121",2021/08/18 00:00:00,"230","2021",6,"15","135",29.6,41.50306,-118.97903,3586.8382379388
"122","122","122",2021/08/18 00:00:00,"230","2021",6,"21","204",90.8,41.51201,-118.98544,2428.6559555524
"123","123","123",2021/08/17 00:00:00,"229","2021",6,"25","225",118.7,41.54091,-119.00429,6314.71963582704
"124","124","124",2021/08/17 00:00:00,"229","2021",6,"33","142",32.1,41.54316,-119.00701,5991.81750879628
"125","125","125",2021/08/17 00:00:00,"229","2021",6,"36","216",113.5,41.54308,-119.00669,6020.63054087881
"126","126","126",2021/09/05 00:00:00,"248","2021",7,"17","138",30.4,41.51582,-118.95726,12455.9916988513
"127","127","127",2021/09/05 00:00:00,"248","2021",7,"25","225",118.7,41.541,-119.00455,6290.14192115421
"128","128","128",2021/09/05 00:00:00,"248","2021",7,"34","178",60.7,41.54156,-119.00527,6202.37807016474
"129","129","129",2021/09/04 00:00:00,"247","2021",7,"13","190",58.5,41.51031,-118.98336,2674.01984497854
"130","130","130",2021/09/04 00:00:00,"247","2021",7,"15","135",29.6,41.50297,-118.97899,3597.49187475845
"131","131","131",2021/09/04 00:00:00,"247","2021",7,"18","177",57.1,41.5029,-118.97883,3609.75841644069
"132","132","132",2021/09/04 00:00:00,"247","2021",7,"21","204",90.8,41.51202,-118.98547,2426.02297911514
"133","133","133",2021/09/04 00:00:00,"247","2021",7,"33","142",32.1,41.54316,-119.007,5992.62498643053
"134","134","134",2021/09/04 00:00:00,"247","2021",7,"36","216",113.5,41.54308,-119.00669,6020.63054087881
"135","135","135",2021/09/18 00:00:00,"261","2021",8,"13","190",58.5,41.5103,-118.98368,2671.05712524586
"136","136","136",2021/09/18 00:00:00,"261","2021",8,"17","138",30.4,41.51582,-118.95722,12457.8088709979
"137","137","137",2021/09/18 00:00:00,"261","2021",8,"21","204",90.8,41.51202,-118.98547,2426.02297911514
"138","138","138",2021/09/18 00:00:00,"261","2021",8,"25","225",118.7,41.54094,-119.00441,6304.10761038331
"139","139","139",2021/09/18 00:00:00,"261","2021",8,"33","142",32.1,41.54325,-119.00529,6093.78126908983
"140","140","140",2021/09/18 00:00:00,"261","2021",8,"34","178",60.7,41.54156,-119.00529,6200.92642193716
"141","141","141",2021/09/18 00:00:00,"261","2021",8,"36","216",113.5,41.54308,-119.00669,6020.63054087881
"142","142","142",2022/05/31 00:00:00,"151","2022",0,"14","138",33.6,41.53986,-119.00307,6456.7012071084
"143","143","143",2022/08/03 00:00:00,"215","2022",0,"41","161",52,41.51381,-118.95628,12694.3120576865
"144","144","144",2022/08/02 00:00:00,"214","2022",0,"42","152",37,41.53218,-118.99313,7989.07201796619
"145","145","145",2022/08/02 00:00:00,"214","2022",0,"44","134",26,41.53283,-118.99219,8095.80268756121
"146","146","146",2022/08/02 00:00:00,"214","2022",0,"45","137",28.5,41.53008,-118.98788,259.839794356349
"147","147","147",2022/08/02 00:00:00,"214","2022",0,"46","167",51,41.53287,-118.9922,8095.86638084478
"148","148","148",2022/08/04 00:00:00,"216","2022",0,"47","129",22.5,41.50418,-118.97974,3451.62006812426
"149","149","149",2022/08/02 00:00:00,"214","2022",0,"48","129",23,41.53286,-118.99223,8093.16409095089
"150","150","150",2022/08/03 00:00:00,"215","2022",0,"49","187",66,41.52299,-118.9852,1118.024218063
"151","151","151",2022/08/03 00:00:00,"215","2022",0,"50","193",84,41.52287,-118.98519,1130.648955898
"152","152","152",2022/08/03 00:00:00,"215","2022",0,"51","130",25,41.51608,-118.95731,12426.2189784967
"153","153","153",2022/08/03 00:00:00,"215","2022",0,"52","125",19,41.51715,-118.9578,12302.8853688958
"154","154","154",2022/08/03 00:00:00,"215","2022",0,"53","160",46,41.52288,-118.98522,1128.54667749093
"155","155","155",2022/08/03 00:00:00,"215","2022",0,"54","133",26.5,41.5131,-118.95384,12855.6251297803
"156","156","156",2022/08/01 00:00:00,"213","2022",0,"55","130",26,41.54139,-119.00491,6239.28597733716
"157","157","157",2022/08/03 00:00:00,"215","2022",0,"56","154",41.5,41.52327,-118.98535,1084.00566152932
"158","158","158",2022/06/01 00:00:00,"152","2022",0,"57","173",59.6,41.52526,-118.98524,862.45749609784
"159","159","159",2022/08/03 00:00:00,"215","2022",0,"58","157",41,41.52298,-118.98524,1117.60597224154
"160","160","160",2022/06/01 00:00:00,"152","2022",0,"60","127",19.8,41.51205,-118.98548,2422.93568544228
"161","161","161",2022/08/04 00:00:00,"216","2022",0,"61","187",77,41.50504,-118.98016,3344.20998939279
"162","162","162",2022/08/04 00:00:00,"216","2022",0,"62","180",64,41.50285,-118.97881,3615.60866206298
"163","163","163",2022/08/04 00:00:00,"216","2022",0,"64","157",42,41.50506,-118.98015,3342.04712217076
"164","164","164",2022/08/04 00:00:00,"216","2022",0,"66","131",29.5,41.50385,-118.97979,3478.60772432779
"165","165","165",2022/08/04 00:00:00,"216","2022",0,"69","157",42.5,41.50401,-118.97966,3471.17455647418
"166","166","166",2022/07/05 00:00:00,"186","2022",0.5,"57","173",59.6,41.52579,-118.9854,801.88157592409
"167","167","167",2022/07/05 00:00:00,"186","2022",0.5,"60","127",19.8,41.5105,-118.98361,2659.71675856774
"168","168","168",2022/08/10 00:00:00,"222","2022",1,"41","161",52,41.51381,-118.95628,12694.3120576865
"169","169","169",2022/08/09 00:00:00,"221","2022",1,"42","152",37,41.53182,-118.99381,7898.06082400672
"170","170","170",2022/08/09 00:00:00,"221","2022",1,"44","134",26,41.53282,-118.99215,8098.88644204348
"171","171","171",2022/08/10 00:00:00,"222","2022",1,"45","137",28.5,41.53006,-118.98783,264.591255888349
"172","172","172",2022/08/09 00:00:00,"221","2022",1,"46","167",51,41.53283,-118.99223,8092.49632414969
"173","173","173",2022/08/10 00:00:00,"222","2022",1,"47","129",22.5,41.50422,-118.97981,3444.28404571328
"174","174","174",2022/08/09 00:00:00,"221","2022",1,"48","129",23,41.53283,-118.99223,8092.49632414969
"175","175","175",2022/08/10 00:00:00,"222","2022",1,"49","187",66,41.52299,-118.98524,1116.58394291991
"176","176","176",2022/08/10 00:00:00,"222","2022",1,"50","193",84,41.52287,-118.98518,1131.00902216827
"177","177","177",2022/08/10 00:00:00,"222","2022",1,"51","130",25,41.51594,-118.95721,12446.6928072121
"178","178","178",2022/08/10 00:00:00,"222","2022",1,"52","125",19,41.51715,-118.9578,12302.8853688958
"179","179","179",2022/08/10 00:00:00,"222","2022",1,"53","160",46,41.52279,-118.98509,1142.42609674301
"180","180","180",2022/08/10 00:00:00,"222","2022",1,"54","133",26.5,41.51307,-118.95592,12781.9386673291
"181","181","181",2022/08/09 00:00:00,"221","2022",1,"55","130",26,41.54126,-119.00477,6257.68963370058
"182","182","182",2022/08/10 00:00:00,"222","2022",1,"61","187",77,41.50503,-118.98016,3345.31867862772
"183","183","183",2022/08/10 00:00:00,"222","2022",1,"62","180",64,41.50254,-118.97887,3646.19762005252
"184","184","184",2022/08/10 00:00:00,"222","2022",1,"64","157",42,41.50503,-118.98016,3345.31867862772
"185","185","185",2022/08/10 00:00:00,"222","2022",1,"65","142",32,41.50869,-118.98214,2905.33024603538
"186","186","186",2022/08/10 00:00:00,"222","2022",1,"66","131",29.5,41.50353,-118.9795,3522.86651923981
"187","187","187",2022/08/10 00:00:00,"222","2022",1,"68","209",94,41.5432,-119.00722,5973.37360809366
"188","188","188",2022/08/10 00:00:00,"222","2022",1,"69","157",42.5,41.50404,-118.97975,3463.66852776002
"189","189","189",2022/08/10 00:00:00,"222","2022",1,"70","142",33,41.50869,-118.98214,2905.33024603538
"190","190","190",2022/08/17 00:00:00,"229","2022",2,"41","161",52,41.51381,-118.95628,12694.3120576865
"191","191","191",2022/08/16 00:00:00,"228","2022",2,"42","152",37,41.53185,-118.99383,7896.39156207252
"192","192","192",2022/08/16 00:00:00,"228","2022",2,"44","134",26,41.5328,-118.99216,8097.61488660826
"193","193","193",2022/08/16 00:00:00,"228","2022",2,"45","137",28.5,41.53014,-118.98797,249.405336863239
"194","194","194",2022/08/16 00:00:00,"228","2022",2,"46","167",51,41.53283,-118.99223,8092.49632414969
"195","195","195",2022/08/17 00:00:00,"229","2022",2,"47","129",22.5,41.50412,-118.97976,3455.94390524116
"196","196","196",2022/08/16 00:00:00,"228","2022",2,"48","129",23,41.53283,-118.99223,8092.49632414969
"197","197","197",2022/08/17 00:00:00,"229","2022",2,"49","187",66,41.52299,-118.98521,1117.66415888465
"198","198","198",2022/08/17 00:00:00,"229","2022",2,"51","130",25,41.51594,-118.95721,12446.6928072121
"199","199","199",2022/08/17 00:00:00,"229","2022",2,"52","125",19,41.51715,-118.9578,12302.8853688958
"200","200","200",2022/08/17 00:00:00,"229","2022",2,"53","160",46,41.52301,-118.98517,1117.06031974108
"201","201","201",2022/08/17 00:00:00,"229","2022",2,"54","133",26.5,41.51307,-118.95592,12781.9386673291
"202","202","202",2022/08/16 00:00:00,"228","2022",2,"55","130",26,41.54126,-119.00477,6257.68963370058
"203","203","203",2022/08/17 00:00:00,"229","2022",2,"61","187",77,41.50761,-118.98121,3045.02799095471
"204","204","204",2022/08/17 00:00:00,"229","2022",2,"62","180",64,41.50254,-118.97887,3646.19762005252
"205","205","205",2022/08/17 00:00:00,"229","2022",2,"64","157",42,41.50504,-118.98015,3344.26454773699
"206","206","206",2022/08/17 00:00:00,"229","2022",2,"65","142",32,41.50869,-118.98214,2905.33024603538
"207","207","207",2022/08/17 00:00:00,"229","2022",2,"66","131",29.5,41.50326,-118.97939,3553.01211807703
"208","208","208",2022/08/16 00:00:00,"228","2022",2,"68","209",94,41.5432,-119.00722,5973.37360809366
"209","209","209",2022/08/17 00:00:00,"229","2022",2,"69","157",42.5,41.50402,-118.97977,3464.39726948297
"210","210","210",2022/08/17 00:00:00,"229","2022",2,"70","142",33,41.50869,-118.98214,2905.33024603538
"211","211","211",2022/08/24 00:00:00,"236","2022",3,"41","161",52,41.51381,-118.95628,12694.3120576865
"212","212","212",2022/08/24 00:00:00,"236","2022",3,"42","152",37,41.53185,-118.99383,7896.39156207252
"213","213","213",2022/08/24 00:00:00,"236","2022",3,"44","134",26,41.5328,-118.99216,8097.61488660826
"214","214","214",2022/08/24 00:00:00,"236","2022",3,"45","137",28.5,41.53014,-118.98797,249.405336863239
"215","215","215",2022/08/24 00:00:00,"236","2022",3,"46","167",51,41.53283,-118.99223,8092.49632414969
"216","216","216",2022/08/24 00:00:00,"236","2022",3,"48","129",23,41.53283,-118.99223,8092.49632414969
"217","217","217",2022/08/24 00:00:00,"236","2022",3,"51","130",25,41.51598,-118.95722,12442.3821308963
"218","218","218",2022/08/24 00:00:00,"236","2022",3,"52","125",19,41.51715,-118.9578,12302.8853688958
"219","219","219",2022/08/24 00:00:00,"236","2022",3,"53","160",46,41.52297,-118.98521,1119.70827543427
"220","220","220",2022/08/24 00:00:00,"236","2022",3,"54","133",26.5,41.51307,-118.95592,12781.9386673291
"221","221","221",2022/08/24 00:00:00,"236","2022",3,"62","180",64,41.50254,-118.97887,3646.19762005252
"222","222","222",2022/08/24 00:00:00,"236","2022",3,"64","157",42,41.50504,-118.98017,3344.15541263947
"223","223","223",2022/08/24 00:00:00,"236","2022",3,"65","142",32,41.50869,-118.98214,2905.33024603538
"224","224","224",2022/08/24 00:00:00,"236","2022",3,"68","209",94,41.5432,-119.00722,5973.37360809366
"225","225","225",2022/08/24 00:00:00,"236","2022",3,"69","157",42.5,41.50402,-118.97977,3464.39726948297
"226","226","226",2022/08/24 00:00:00,"236","2022",3,"70","142",33,41.50869,-118.98214,2905.33024603538
"227","227","227",2022/09/07 00:00:00,"250","2022",4,"42","152",37,41.53185,-118.99383,7896.39156207252
"228","228","228",2022/09/07 00:00:00,"250","2022",4,"44","134",26,41.53283,-118.99223,8092.49632414969
"229","229","229",2022/09/07 00:00:00,"250","2022",4,"45","137",28.5,41.53014,-118.98797,249.405336863239
"230","230","230",2022/09/07 00:00:00,"250","2022",4,"46","167",51,41.53283,-118.99223,8092.49632414969
"231","231","231",2022/09/07 00:00:00,"250","2022",4,"47","129",22.5,41.50419,-118.97971,3452.32451482735
"232","232","232",2022/09/07 00:00:00,"250","2022",4,"48","129",23,41.53283,-118.99223,8092.49632414969
"233","233","233",2022/09/07 00:00:00,"250","2022",4,"53","160",46,41.52297,-118.98521,1119.70827543427
"234","234","234",2022/09/07 00:00:00,"250","2022",4,"62","180",64,41.50254,-118.97887,3646.19762005252
"235","235","235",2022/09/07 00:00:00,"250","2022",4,"64","157",42,41.50504,-118.98016,3344.20998939279
"236","236","236",2022/09/07 00:00:00,"250","2022",4,"65","142",32,41.50869,-118.98214,2905.33024603538
"237","237","237",2022/09/07 00:00:00,"250","2022",4,"68","209",94,41.5432,-119.00722,5973.37360809366
"238","238","238",2022/09/07 00:00:00,"250","2022",4,"69","157",42.5,41.50402,-118.97977,3464.39726948297
"239","239","239",2022/09/07 00:00:00,"250","2022",4,"70","142",33,41.50869,-118.98214,2905.33024603538
"240","240","240",2022/10/04 00:00:00,"277","2022",5,"41","161",52,41.51381,-118.95628,12694.3120576865
"241","241","241",2022/10/03 00:00:00,"276","2022",5,"42","152",37,41.53185,-118.99383,7896.39156207252
"242","242","242",2022/10/03 00:00:00,"276","2022",5,"44","134",26,41.53281,-118.99215,8098.66393983264
"243","243","243",2022/10/03 00:00:00,"276","2022",5,"45","137",28.5,41.53014,-118.98797,249.405336863239
"244","244","244",2022/10/03 00:00:00,"276","2022",5,"46","167",51,41.53283,-118.99223,8092.49632414969
"245","245","245",2022/10/04 00:00:00,"277","2022",5,"47","129",22.5,41.50419,-118.97971,3452.32451482735
"246","246","246",2022/10/03 00:00:00,"276","2022",5,"48","129",23,41.53283,-118.99223,8092.49632414969
"247","247","247",2022/10/04 00:00:00,"277","2022",5,"51","130",25,41.51597,-118.95724,12442.4375940905
"248","248","248",2022/10/04 00:00:00,"277","2022",5,"52","125",19,41.5171,-118.95756,12308.4385646723
"249","249","249",2022/10/03 00:00:00,"276","2022",5,"53","160",46,41.52297,-118.98521,1119.70827543427
"250","250","250",2022/10/04 00:00:00,"277","2022",5,"54","133",26.5,41.51307,-118.95592,12781.9386673291
"251","251","251",2022/10/04 00:00:00,"277","2022",5,"62","180",64,41.50278,-118.97884,3622.00783383207
