"","X","stream","reach","seq_order","channel_type","latitude","longitude","unit_length_m","wetted_width_m","max_depth_m","pool_crest_depth_bf_m","LWD_small","LWD_med","LWD_large","root_debris","riparian_shade","total_shade","fish_present","undercut_LB_m","undercut_RB_m","sand","gravel","cobble","boulder","bedrock","dominantSizeClass_LB","dominantSizeClass_RB","understoryVeg_NV_LB","understoryVeg_GF_LB","understoryVeg_SR_LB","understoryVeg_NV_RB","understoryVeg_GF_RB","understoryVeg_SR_RB","overstoryVeg_SB_LB","overstoryVeg_HW_LB","overstoryVeg_HQ_LB","overstoryVeg_WS_LB","overstoryVeg_SB_RB","overstoryVeg_HW_RB","overstoryVeg_HQ_RB","overstoryVeg_WS_RB"
"550",551,"Mahogany Creek","MC7-787",462,"FTRP1",41.5161773428413,-118.95745656212,31.5,1,0.1,NA,1,0,0,1,74,74,"N",14,5,50,35,10,5,0,"SS","SS",65,30,5,60,30,10,0,20,15,10,0,0,80,5
"551",552,"Mahogany Creek","MC7-787",462,"FTRP1",41.5161773428413,-118.95745656212,31.5,1,0.1,NA,1,0,0,1,74,74,"N",14,5,50,35,10,5,0,"SS","SS",65,30,5,60,30,10,0,20,15,10,0,0,80,5
"552",553,"Mahogany Creek","MC7-787",462,"FTRP1",41.5161773428413,-118.95745656212,31.5,1,0.1,NA,1,0,0,1,74,74,"N",14,5,50,35,10,5,0,"SS","SS",65,30,5,60,30,10,0,20,15,10,0,0,80,5
"553",554,"Mahogany Creek","MC7-787",463,"SSMC2",41.5160177510343,-118.957307950102,1,1.1,0.13,0.28,0,0,0,0,71,71,"N",1,0,60,30,9,1,0,"SS","SS",60,30,10,40,55,5,0,0,70,0,1,15,0,0
"554",555,"Mahogany Creek","MC7-787",464,"FTRP2",41.5160177510343,-118.957307950102,5.5,1.2,0.13,NA,0,0,0,1,72,72,"N",3,0,50,35,10,5,0,"SS","SS",55,50,5,45,45,10,0,0,80,5,2,20,0,0
"555",556,"Mahogany Creek","MC7-787",465,"SSMC3",41.515973759793,-118.957246706902,2.3,1.45,0.13,0.24,0,0,0,0,83,83,"N",0,0,60,35,5,0,0,"SS","SS",40,50,10,35,60,5,0,0,80,5,3,15,0,0
"556",557,"Mahogany Creek","MC7-787",466,"FTRP3",41.5159473650316,-118.957209961023,7.9,1.1,0.09,NA,0,0,0,1,90,90,"N",3,0,50,25,0,15,0,"SS","GF",60,35,5,35,50,15,0,0,90,10,0,10,0,0
"557",558,"Mahogany Creek","MC7-787",467,"FTRF4",41.5159211741604,-118.957161237853,9.6,1.15,0.08,NA,0,0,0,1,96,96,"N",2,1,55,25,17,3,0,"SS","SS",20,70,10,25,70,5,0,5,40,10,15,0,0,30
"558",559,"Mahogany Creek","MC7-787",468,"SSLS4",41.5157853260904,-118.957205077687,1.5,1.2,0.15,0.27,0,0,0,1,76,76,"N",0.5,0,80,20,0,0,0,"SS","SS",65,30,5,60,30,10,0,45,20,0,5,60,0,0
"559",560,"Mahogany Creek","MC7-787",469,"FTRF5",41.515783694801,-118.957300896038,47,1.1,0.06,NA,0,0,0,4,84,84,"N",0,2,50,40,10,0,0,"SS","SS",50,45,5,40,50,10,10,20,15,10,0,15,0,0
"560",561,"Mahogany Creek","MC7-787",470,"SSLS5",41.5153845104101,-118.956941347883,3.1,1.2,0.16,0.32,0,0,0,1,93,93,"N",0,1,80,15,5,0,0,"SS","SS",45,50,5,60,35,5,0,50,35,10,5,20,0,15
"561",562,"Mahogany Creek","MC7-787",471,"FTRF6",41.5153851220359,-118.956905416216,25,0.94,0.11,NA,0,0,0,0,86,86,"N",1.5,4,35,25,20,0,0,"SS","SS",30,60,10,25,65,10,0,15,60,5,10,20,0,15
"562",563,"Mahogany Creek","MC7-787",471,"FTRF6",41.5153851220359,-118.956905416216,25,0.94,0.11,NA,0,0,0,0,86,86,"N",1.5,4,35,25,20,0,0,"SS","SS",30,60,10,25,65,10,0,15,60,5,10,20,0,15
"563",564,"Mahogany Creek","MC7-787",472,"FNRN7",41.5151885014583,-118.95681560844,2.3,0.97,0.13,NA,0,0,0,0,85,85,"N",0,0.5,55,40,5,0,0,"SS","SS",30,65,5,60,35,5,0,70,0,5,2,5,0,15
"564",565,"Mahogany Creek","MC7-787",473,"FTRF8",41.5152705402604,-118.956758163554,41,1.41,0.1,NA,0,0,0,3,85,85,"N",8,2,50,34,15,1,0,"SS","GF",30,60,10,50,45,5,1,60,15,10,1,10,10,5
"565",566,"Mahogany Creek","MC7-787",474,"SSLS6",41.5149562798261,-118.956700762054,1,1.5,0.13,0.27,0,0,0,1,87,87,"N",0.75,0,70,25,5,0,0,"SS","SS",30,60,10,45,50,5,0,8,30,10,0,5,20,0
"566",567,"Mahogany Creek","MC7-787",475,"FTRP9",41.5149478892038,-118.956664559406,3.1,1.3,0.09,NA,0,0,0,0,71,71,"N",0,0,55,40,5,0,0,"SS","SS",50,35,15,50,40,10,0,40,5,10,0,30,15,0
"567",568,"Mahogany Creek","MC7-787",476,"SSMC7",41.5149476853566,-118.95667653655,1.5,1.2,0.16,0.3,0,0,0,0,83,83,"N",0,1,75,15,10,0,0,"SS","SS",45,50,5,35,60,5,0,10,0,5,0,20,15,0
"568",569,"Mahogany Creek","MC7-787",477,"FTRP10",41.514902674518,-118.956675180481,32,1,0.09,NA,0,0,0,3,86,86,"N",8,5,50,35,15,0,0,"SS","SS",65,40,5,60,35,5,0,20,10,10,0,15,25,5
"569",570,"Mahogany Creek","MC7-787",478,"FTRF11",41.5145990468587,-118.956522234337,14,1.38,0.08,NA,1,0,0,2,65,65,"N",4,2,50,35,15,0,0,"SS","SS",40,50,10,50,45,5,0,15,40,25,2,25,60,5
"570",571,"Mahogany Creek","MC7-787",479,"SSLS8",41.514453177637,-118.956625688804,1.8,0.95,0.12,0.25,0,0,0,1,87,87,"N",1.5,0,80,20,0,0,0,"SS","SS",45,45,10,50,45,5,0,0,75,10,0,0,60,0
"571",572,"Mahogany Creek","MC7-787",480,"FTRP12",41.5144992076693,-118.95656715951,15,1.25,0.11,NA,2,0,0,3,90,90,"N",2,5,50,30,15,5,0,"SS","SS",35,50,15,30,60,10,0,5,80,10,0,10,75,0
"572",573,"Mahogany Creek","MC1-013",1000,"FTRF1",41.5250121190586,-119.061585762101,4.7,0.85,0.08,NA,0,0,0,0,12,12,"N",0.5,0.5,80,20,0,0,0,"GF","GF",0,45,55,5,95,0,0,0,0,0,0,0,0,0
"573",574,"Mahogany Creek","MC1-013",1001,"FNRN2",41.5250309814541,-119.061538420874,8.9,0.8,0.14,NA,0,0,0,0,20,20,"Y",2,1.5,70,30,0,0,0,"GF","GF",15,80,5,10,85,5,0,0,0,0,0,0,0,0
"574",575,"Mahogany Creek","MC1-013",1002,"FTRF3",41.5250140523431,-119.06147795804,5.1,0.88,0.11,NA,0,0,0,0,10,10,"N",2,0,65,35,0,0,0,"GF","GF",10,90,0,15,85,0,0,0,0,0,0,0,0,0
"575",576,"Mahogany Creek","MC1-013",1003,"SSMC1",41.5250425606595,-119.061394967901,3.2,0.82,0.2,0.27,0,0,0,0,16,16,"N",1.5,0,75,25,0,0,0,"GF","GF",15,80,5,5,87,8,0,0,0,0,0,0,0,0
"576",577,"Mahogany Creek","MC1-013",1004,"FNRN4",41.5250695653799,-119.061395825375,4.9,0.75,0.16,NA,0,0,0,0,13,13,"Y",0,0,80,20,0,0,0,"GF","GF",10,90,0,15,85,0,0,0,0,0,0,0,0,0
"577",578,"Mahogany Creek","MC1-013",1005,"FTRF5",41.5251055716736,-119.061396968675,4.7,0.79,0.11,NA,0,0,0,0,10,10,"N",1.5,0.5,75,25,0,0,0,"GF","GF",13,80,7,15,80,5,0,0,0,0,0,0,0,0
"578",579,"Mahogany Creek","MC1-013",1006,"FNRN6",41.5251244339938,-119.061349627322,10,0.62,0.2,NA,0,0,0,0,17,17,"",0,0,85,15,0,0,0,"GF","GF",20,80,0,15,85,0,0,0,0,0,0,0,0,0
"579",580,"Mahogany Creek","MC1-013",1007,"FTRF7",41.5251713749321,-119.06124325208,4.4,0.64,0.13,NA,0,0,0,0,17,17,"",1.5,0,85,15,0,0,0,"GF","GF",10,90,0,5,95,0,0,0,0,0,0,0,0,0
"580",581,"Mahogany Creek","MC1-013",1008,"FNRN8",41.5251810208408,-119.061207603098,4.1,0.62,0.14,NA,0,0,0,0,13,13,"N",0,0,85,15,0,0,0,"GF","GF",12,85,3,15,82,3,0,0,0,0,0,0,0,0
"581",582,"Mahogany Creek","MC1-013",1009,"FTRF9",41.5252080255637,-119.061208460497,2.2,0.6,0.09,NA,0,0,0,0,33,33,"N",0,0.5,70,30,0,0,0,"GF","GF",10,85,5,10,80,10,0,0,0,0,0,0,0,0
"582",583,"Mahogany Creek","MC1-013",1010,"FNRN10",41.5252084551143,-119.061184503962,14,0.83,0.2,NA,0,0,0,0,11,11,"N",0,0,80,20,0,0,0,"GF","GF",5,85,10,10,75,15,0,0,0,0,0,0,0,0
"583",584,"Mahogany Creek","MC1-013",1011,"FTRF11",41.5253042693203,-119.060863948214,3,0.48,0.12,NA,0,0,0,0,15,15,"N",0,0,75,25,0,0,0,"GF","GF",10,85,5,15,80,5,0,0,0,0,0,0,0,0
"584",585,"Mahogany Creek","MC1-013",1012,"FNRN12",41.5253370543646,-119.061044765629,7,0.7,0.12,NA,0,0,0,0,10,10,"N",0,0,80,20,0,0,0,"GF","GF",5,90,5,10,85,5,0,0,0,0,0,0,0,0
"585",586,"Mahogany Creek","MC1-013",1012,"FNRN12",41.5253370543646,-119.061044765629,7,0.7,0.12,NA,0,0,0,0,10,10,"N",0,0,80,20,0,0,0,"GF","GF",5,90,5,10,85,5,0,0,0,0,0,0,0,0
"586",587,"Mahogany Creek","MC1-013",1012,"FNRN12",41.5253370543646,-119.061044765629,7,0.7,0.12,NA,0,0,0,0,10,10,"N",0,0,80,20,0,0,0,"GF","GF",5,90,5,10,85,5,0,0,0,0,0,0,0,0
"587",588,"Mahogany Creek","MC1-013",1012,"FNRN12",41.5253370543646,-119.061044765629,7,0.7,0.12,NA,0,0,0,0,10,10,"N",0,0,80,20,0,0,0,"GF","GF",5,90,5,10,85,5,0,0,0,0,0,0,0,0
"588",589,"Mahogany Creek","MC1-013",1012,"FNRN12",41.5253370543646,-119.061044765629,7,0.7,0.12,NA,0,0,0,0,10,10,"N",0,0,80,20,0,0,0,"GF","GF",5,90,5,10,85,5,0,0,0,0,0,0,0,0
"589",590,"Mahogany Creek","MC1-013",1013,"SSMC2",41.5253651328751,-119.060985731477,2,0.93,0.18,0.28,0,0,0,0,5,5,"N",0,0,90,10,0,0,0,"GF","GF",13,72,15,13,72,15,0,0,0,0,0,0,0,0
"590",591,"Mahogany Creek","MC1-013",1014,"FTRF13",41.525365991881,-119.060937818284,2.3,0.86,0.1,NA,0,0,0,0,11,11,"N",0,0,75,25,0,0,0,"GF","GF",10,85,5,10,80,10,0,0,0,0,0,0,0,0
"591",592,"Mahogany Creek","MC1-013",1014,"FTRF13",41.525365991881,-119.060937818284,2.3,0.86,0.1,NA,0,0,0,0,11,11,"N",0,0,75,25,0,0,0,"GF","GF",10,85,5,10,80,10,0,0,0,0,0,0,0,0
"592",593,"Mahogany Creek","MC1-013",1015,"FNRN14",41.5253572050537,-119.060925554223,17,1,0.2,NA,0,0,0,0,3,3,"N",0,0,85,15,0,0,0,"GF","GF",5,90,5,0,90,10,0,0,0,0,0,0,0,0
"593",594,"Mahogany Creek","MC1-013",1016,"FTRF15",41.5253422082458,-119.060757286573,5.5,0.58,0.17,NA,0,0,0,0,8,8,"N",0,0,70,30,0,0,0,"GF","GF",8,80,12,5,90,5,0,0,0,0,0,0,0,0
"594",595,"Mahogany Creek","MC1-013",1017,"SSLS3",41.5253428524305,-119.060721351686,3.8,1.38,0.18,0.29,0,0,0,0,3,3,"N",0,0,95,5,0,0,0,"GF","GF",3,90,7,5,85,10,0,0,0,0,0,0,0,0
"595",596,"Mahogany Creek","MC1-013",1018,"FNRN16",41.5253077050174,-119.060672295593,16,0.76,0.24,NA,0,0,0,0,7,7,"N",0,0,80,20,0,0,0,"GF","GF",10,NA,NA,10,NA,NA,0,0,0,0,0,0,0,0
"596",597,"Mahogany Creek","MC1-013",1019,"SSMC4",41.5252734164353,-119.060575326417,2.15,1.17,0.23,0.32,0,0,0,0,4,4,"N",0,0,85,15,0,0,0,"GF","GF",5,80,15,10,80,10,0,0,0,0,0,0,0,0
"597",598,"Mahogany Creek","MC8-15-4",421,"SSMC1",41.5093414983616,-118.955321416551,1,0.82,0.11,0.02,0,0,0,0,91,91,"N",0.68,0.2,70,20,10,0,0,"SS","SS",65,35,0,50,50,0,0,0,70,1,0,0,50,5
"598",599,"Mahogany Creek","MC8-15-4",422,"SSMC2",41.5094767348013,-118.955313505014,1.25,0.89,0.09,0.02,0,0,0,1,87,87,"N",1.25,0.3,70,20,10,0,0,"SS","SS",65,35,0,50,50,0,0,0,70,0,0,0,50,5
"599",600,"Mahogany Creek","MC8-15-4",423,"FTRP1",41.5094227216993,-118.955311879177,19,1.22,0.06,NA,2,0,0,2,53,53,"N",11,6,60,25,10,5,0,"SS","SS",60,39,1,50,50,0,0,0,50,0,0,0,50,5
"600",601,"Mahogany Creek","MC8-15-4",424,"SSLS3",41.5093259381152,-118.955177161195,0.75,0.82,0.08,0.01,0,0,0,0,77,77,"N",0.84,0,55,44,1,0,0,"SS","SS",45,55,0,50,50,0,0,0,50,0,0,0,60,5
"601",602,"Mahogany Creek","MC8-15-4",425,"FTRP2",41.5092725360085,-118.955139607155,10,0.9,0.07,NA,0,0,0,2,73,73,"N",1.5,2,60,28,10,2,0,"SS","SS",50,50,0,40,60,0,0,0,50,0,0,0,60,0
"602",603,"Mahogany Creek","MC8-15-4",426,"SSMC4",41.5093731893282,-118.955046778562,0.8,0.65,0.06,0.31,0,0,0,0,62,62,"N",0,0.8,80,17,3,0,0,"SS","SS",65,35,0,40,60,0,0,0,60,0,0,0,50,0
"603",604,"Mahogany Creek","MC8-15-4",427,"FTRP3",41.5093394207239,-118.954913957481,1.6,1.3,0.06,NA,0,0,0,0,88,88,"N",1.5,1.5,50,30,10,10,0,"SS","SS",55,45,0,50,50,0,0,0,50,15,0,0,70,5
"604",605,"Mahogany Creek","MC8-15-4",428,"FNRN4",41.5092575864741,-118.954959423667,2.1,1,0.07,NA,0,0,0,1,84,84,"N",0,2.1,70,20,4,1,0,"SS","SS",65,35,0,60,40,0,0,0,70,10,0,0,80,10
"605",606,"Mahogany Creek","MC8-15-4",429,"FTRP5",41.5092753871987,-118.954971941622,3,1.28,0.06,NA,0,0,0,1,89,89,"N",0,0,70,24,5,1,0,"SS","SS",45,55,0,60,40,0,0,0,80,15,0,0,75,5
"606",607,"Mahogany Creek","MC8-15-4",430,"SSMC5",41.5092504170543,-118.95485136779,1.4,2.3,0.07,0.28,0,0,0,1,94,94,"N",1.2,0.5,80,15,5,0,0,"SS","SS",55,45,0,60,40,0,0,0,85,10,0,0,18,5
"607",608,"Mahogany Creek","MC8-15-4",431,"FTRF6",41.5092858148884,-118.954888379759,4.1,2.1,0.04,NA,0,1,0,4,83,83,"N",0,4,60,25,10,5,0,"SS","SS",60,40,0,75,25,0,0,0,90,0,0,0,85,5
"608",609,"Mahogany Creek","MC8-15-4",432,"SSMC6",41.5092690323271,-118.954815981274,1.9,1.5,0.1,0.27,0,0,0,1,86,86,"N",0,0.9,85,10,5,0,0,"SS","SS",50,50,0,60,40,0,0,0,50,10,0,0,70,5
"609",610,"Mahogany Creek","MC8-15-4",433,"SSMC7",41.5093236563365,-118.954781678329,1.2,1.3,0.14,0.26,0,0,0,1,90,90,"N",0.9,0,90,5,5,0,0,"SS","SS",35,65,0,55,45,0,0,0,70,5,0,0,60,0
"610",611,"Mahogany Creek","MC8-15-4",434,"FTRP7",41.5092309872063,-118.954934658697,3.1,1.2,0.05,NA,0,0,0,1,94,94,"N",0,0,60,32,7,1,0,"SS","SS",55,45,0,60,40,0,0,0,80,5,0,0,70,0
"611",612,"Mahogany Creek","MC8-15-4",435,"FTRP8",41.5092774236136,-118.954852180512,6,NA,NA,NA,0,0,0,1,87,87,"N",4,0,NA,NA,NA,NA,0,"SS","SS",40,60,0,50,50,0,0,0,78,5,0,0,70,0
"612",613,"Mahogany Creek","MC8-15-4",436,"FTRP9",41.509333065777,-118.954757996982,2.9,0.8,0.06,NA,0,0,0,1,80,80,"N",0,0,55,40,4,1,0,"SS","SS",60,40,0,65,35,0,0,0,70,5,0,0,50,0
"613",614,"Mahogany Creek","MC8-15-4",436,"FTRP9",41.509333065777,-118.954757996982,2.9,0.8,0.06,NA,0,0,0,1,80,80,"N",0,0,55,40,4,1,0,"SS","SS",60,40,0,65,35,0,0,0,70,5,0,0,50,0
"614",615,"Mahogany Creek","MC8-15-4",437,"SSMC8",41.5092710685794,-118.954696220165,1.4,0.7,0.1,0.25,0,0,0,0,90,90,"N",0,0.5,70,20,10,0,0,"SS","SS",45,55,0,60,40,0,0,0,50,0,0,0,40,10
"615",616,"Mahogany Creek","MC8-15-4",438,"FTRP10",41.5092714758149,-118.954672267942,5,0.55,0.06,NA,0,0,0,0,90,90,"N",0.5,0,50,35,10,5,0,"SS","SS",60,40,0,35,65,0,0,0,80,5,0,0,60,15
"616",617,"Mahogany Creek","MC8-15-4",439,"SSLS9",41.5094631686731,-118.954522266583,1.5,1,0.14,0.24,0,0,0,0,91,91,"N",1,0,85,10,4,1,0,"SS","SS",50,50,0,60,40,0,0,0,85,5,0,0,80,10
"617",618,"Mahogany Creek","MC8-15-4",440,"SSMC10",41.5093267106177,-118.954602036505,2.3,1,0.12,0.25,0,0,0,0,100,100,"N",0.75,0,70,20,3,2,0,"SS","SS",70,30,0,60,40,0,0,0,75,5,0,0,80,5
