date,trip_number,tag_id,latitude,longitude,signal_strength,gain,notes
na,4,19,na,na,na,na,
na,5,19,na,na,na,na,
na,6,19,na,na,na,na,
na,7,19,na,na,na,na,
na,8,19,na,na,na,na,
6/23/2021,0,20,41.54155,-119.00477,na,na,Tagging event
6/28/2021,1,20,41.54123,-119.00474,232,20,"near RCT, under willow, same location as when tagged"
7/6/2021,2,20,41.54129,-119.00484,248,20,REALLY undercut bank in willow thicket
7/18/2021,3,20,41.54123,-119.00479,208,20,"same location, in willow thicket, dense riparian vegetation"
7/27/2021,4,20,41.54122,-119.00478,220,20,"moved 5m US, undercut in deep riffle, LIKELY DEAD AT THIS RECAP"
na,5,20,na,na,na,na,
na,6,20,41.54125,-119.00481,250,20,"dead tag, found 1m away from wetted edge, likely dead for awhile"
na,7,20,na,na,na,na,
na,8,20,na,na,na,na,
6/23/2021,0,21,41.51203,-118.98547,na,na,Tagging event
6/30/2021,1,21,41.51205,-118.98547,212,20,fish observed alive; in shallow pool; live in channel tree
7/7/2021,2,21,41.51205,-118.98548,229,20,"Smae location, LIKELY DEAD TAG"
7/20/2021,3,21,41.51202,-118.98544,228,20,"Previously thought dead, observed alive @ head of pool"
7/28/2021,4,21,41.51201,-118.98544,246,20,"Under LWD, same"
8/13/2021,5,21,41.51201,-118.98544,250,20,"undercut, behind rock"
8/18/2021,6,21,41.51201,-118.98544,250,20,Undercut behind rock
9/4/2021,7,21,41.51202,-118.98547,240,20,same
9/18/2021,8,21,41.51202,-118.98547,244,20,same
6/22/2021,0,22,41.53192,-118.99353,na,na,Tagging event
6/29/2021,1,22,41.53192,-118.99349,230,20,same location as when tagged; near willow thicket
7/6/2021,2,22,41.53194,-118.99344,223,20,"small pool under willows, OBSERVED"
7/18/2021,3,22,41.53193,-118.99347,236,20,"Same location, in pool, riparian vegetation, willow thicket"
na,4,22,na,na,na,na,
na,5,22,na,na,na,na,
na,6,22,na,na,na,na,
na,7,22,na,na,na,na,
na,8,22,na,na,na,na,
6/22/2021,0,23,41.53289,-118.99067,na,na,Tagging event
