"","stream","channel_type","latitude","longitude","max_depth_m","lwd_total","total_shade","undercut_bank_m","dominant_substrate"
"117","Mahogany Creek","riffle",41.5328258400683,-118.988188715392,0.06,0,89,5,"sand"
"118","Mahogany Creek","scour_pool",41.5328632983273,-118.988105956862,0.18,1,82,2,"sand"
"119","Mahogany Creek","riffle",41.5328817166501,-118.988082547897,0.18,0,91,4,"sand"
"120","Summer Camp Creek","riffle",41.5300212543119,-118.988390474899,0.12,0,76,4.5,"sand"
"121","Summer Camp Creek","scour_pool",41.5300305775668,-118.987851388514,0.26,1,94,1,"sand"
"122","Summer Camp Creek","riffle",41.5300496172787,-118.987792041354,0.11,4,84,15,"sand"
"123","Summer Camp Creek","scour_pool",41.5298812725646,-118.987631067864,0.21,0,83,1.9,"sand"
"124","Summer Camp Creek","riffle",41.5298362626823,-118.987629689629,0.11,4,90,18,"sand"
"125","Summer Camp Creek","mid-channel",41.5296233220504,-118.987443379734,0.15,4,88,3.2,"sand"
"126","Summer Camp Creek","riffle",41.5296509493126,-118.987408267691,0.09,3,85,4.2,"sand"
"127","Summer Camp Creek","mid-channel",41.5296073891433,-118.987323032242,0.26,1,92,1,"sand"
"128","Summer Camp Creek","riffle",41.529571381229,-118.987321929835,0.07,0,95,1.2,"sand"
"129","Summer Camp Creek","scour_pool",41.5295449965821,-118.987285164186,0.16,1,86,0,"sand"
"130","Summer Camp Creek","riffle",41.5295156933667,-118.988458890077,0.07,2,88,1.5,"sand"
"131","Summer Camp Creek","run",41.5295625863481,-118.987309674615,0.2,1,94,2.5,"sand"
"132","Summer Camp Creek","riffle",41.5295630005397,-118.987285715379,0.08,1,84,4,"sand"
"133","Summer Camp Creek","plunge_pool",41.5296266356705,-118.987251705668,0.21,1,84,1,"sand"
"134","Summer Camp Creek","riffle",41.5295370300595,-118.987224990523,0.14,7,78,9.5,"sand"
"135","Summer Camp Creek","mid-channel",41.5293456126495,-118.986835581084,0.18,2,74,3.05,"sand"
"136","Summer Camp Creek","riffle",41.529283012868,-118.986809693223,0.09,3,76,6.5,"sand"
"137","Summer Camp Creek","scour_pool",41.5293474760202,-118.986727764847,0.17,0,91,1.7,"sand"
"138","Summer Camp Creek","run",41.5292492823445,-118.986676815909,0.03,2,100,7,"sand"
"139","Summer Camp Creek","scour_pool",41.5292226904534,-118.986652030263,0.13,1,90,1.3,"sand"
"140","Summer Camp Creek","scour_pool",41.5045984842512,-118.9798482952,0.23,0,97,0,"sand"
"141","Summer Camp Creek","riffle",41.504580480134,-118.979847746551,0.11,1,80,0,"sand"
"142","Summer Camp Creek","rapid",41.5045371195509,-118.979750574461,0.13,4,72,0,"sand"
"143","Summer Camp Creek","riffle",41.5042754412015,-118.979778544532,0.1,4,95,8,"gravel"
"144","Summer Camp Creek","scour_pool",41.5041424723423,-118.97965468,0.17,0,88,1.25,"sand"
"145","Summer Camp Creek","riffle",41.5041962785058,-118.979668300761,0.13,0,87,0.5,"sand"
"146","Summer Camp Creek","mid-channel",41.5040505959188,-118.979759711797,0.19,1,90,0,"sand"
"147","Summer Camp Creek","rapid",41.5040874289804,-118.979712909123,0.11,2,85,0.5,"sand"
"148","Summer Camp Creek","plunge_pool",41.5039959649314,-118.979793990833,0.17,2,85,1.5,"sand"
"149","Summer Camp Creek","riffle",41.5039963773511,-118.979770040914,0.13,0,73,4,"sand"
"150","Summer Camp Creek","scour_pool",41.5038797629837,-118.979742525041,0.21,0,81,0,"sand"
"151","Summer Camp Creek","riffle",41.5038875277895,-118.97981464898,0.13,0,67,1.8,"sand"
"152","Summer Camp Creek","rapid",41.5036835734383,-118.979628716279,0.14,1,70,6.3,"sand"
"153","Summer Camp Creek","mid-channel",41.5034875899382,-118.979502933356,0.12,1,84,0.3,"sand"
"154","Summer Camp Creek","rapid",41.5035954085031,-118.979518199449,0.12,2,70,10.5,"sand"
"155","Summer Camp Creek","riffle",41.5035266907319,-118.979324407298,0.1,2,69,1,"sand"
"156","Summer Camp Creek","scour_pool",41.5034550865438,-118.97929826364,0.15,1,83,1.1,"sand"
"157","Summer Camp Creek","rapid",41.5034008680058,-118.979308593068,0.13,1,77,3.2,"sand"
"158","Summer Camp Creek","scour_pool",41.5034500012433,-118.979070467016,0.13,3,75,1,"sand"
"159","Summer Camp Creek","rapid",41.5033208802072,-118.979246250734,0.13,0,87,0,"sand"
"160","Summer Camp Creek","plunge_pool",41.4956218038965,-119.013896594812,0.19,0,79,1,"sand"
"161","Summer Camp Creek","riffle",41.4962732112475,-118.977929453108,0.14,2,75,7.5,"sand"
"162","Summer Camp Creek","plunge_pool",41.4961134395241,-118.977792812776,0.17,1,88,0,"sand"
"163","Summer Camp Creek","riffle",41.4960966711608,-118.977720423748,0.14,3,97,11,"sand"
"164","Summer Camp Creek","plunge_pool",41.4959440476614,-118.977691819661,0.25,0,89,1.5,"sand"
"165","Summer Camp Creek","rapid",41.4959810857816,-118.977633047944,0.16,2,70,8.5,"sand"
"166","Summer Camp Creek","plunge_pool",41.4956293866287,-118.977658284865,0.18,2,79,1.5,"sand"
"167","Summer Camp Creek","plunge_pool",41.4956201785885,-118.977669984362,0.15,0,90,0,"sand"
"168","Summer Camp Creek","plunge_pool",41.4956756327611,-118.977587813892,0.18,0,92,1,"sand"
"169","Summer Camp Creek","rapid",41.4956310342292,-118.977562497395,0.16,3,88,18.25,"sand"
"170","Summer Camp Creek","plunge_pool",41.4953896254334,-118.977459314423,0.31,0,74,0.75,"sand"
"171","Summer Camp Creek","rapid",41.4954166316914,-118.97746013614,0.13,1,65,3,"sand"
"172","Summer Camp Creek","cascade",41.4863719977384,-118.977041262825,0.13,1,83,0.5,"sand"
"173","Summer Camp Creek","rapid",41.4954268693567,-118.977388569661,0.15,0,83,8,"sand"
"174","Summer Camp Creek","plunge_pool",41.4952478572356,-118.977323224939,0.22,0,78,0.5,"sand"
"175","Summer Camp Creek","rapid",41.4953119014239,-118.977265275253,0.14,1,80,3.5,"sand"
"176","Summer Camp Creek","mid-channel",41.4951611308934,-118.977128912495,0.16,1,93,2.5,"sand"
"177","Summer Camp Creek","rapid",41.4951414794938,-118.977224151556,0.11,2,83,10,"sand"
"178","Summer Camp Creek","scour_pool",41.4951975510401,-118.977106061211,0.17,0,79,2.5,"sand"
"179","Mahogany Creek","run",41.5451172636658,-119.01575599661,0.21,0,90,1,"sand"
"180","Mahogany Creek","scour_pool",41.5450816767198,-119.01573091328,0.66,0,87,2,"sand"
"181","Mahogany Creek","riffle",41.5450835677609,-119.015623072811,0.14,0,84,3.6,"sand"
"182","Mahogany Creek","scour_pool",41.5450670349027,-119.015538637553,0.18,0,64,3,"sand"
"183","Mahogany Creek","riffle",41.5450756164967,-119.015562881766,0.2,2,86,16,"sand"
"184","Mahogany Creek","scour_pool",41.5452058435235,-119.015327151171,0.24,1,91,4.5,"sand"
"185","Mahogany Creek","riffle",41.5451800985782,-119.01525441849,0.09,1,97,3.25,"sand"
"186","Mahogany Creek","mid-channel",41.5451623050486,-119.015241876944,0.26,0,85,3.5,"sand"
"187","Mahogany Creek","riffle",41.5451717269881,-119.015218191981,0.18,2,92,19,"sand"
"188","Mahogany Creek","run",41.5451390807132,-119.015025356878,0.16,1,89,4.3,"sand"
"189","Mahogany Creek","riffle",41.5450769082807,-119.014975470605,0.19,1,84,32,"sand"
"190","Mahogany Creek","scour_pool",41.5451361697771,-119.01467759088,0.38,0,81,9,"sand"
"191","Mahogany Creek","run",41.5451993924141,-119.014667565405,0.2,0,80,6.5,"sand"
"192","Mahogany Creek","riffle",41.5452098642644,-119.014583968813,0.13,2,75,9,"gravel"
"193","Mahogany Creek","scour_pool",41.54516716519,-119.014450765862,0.44,0,82,1.5,"sand"
"194","Mahogany Creek","riffle",41.5451502115052,-119.014390295352,0.14,2,89,5,"sand"
"195","Mahogany Creek","scour_pool",41.5451981601599,-119.01422394061,0.23,0,85,3.5,"sand"
"196","Mahogany Creek","riffle",41.5451897882422,-119.014187714211,0.13,0,80,3.2,"sand"
"197","Mahogany Creek","mid-channel",41.5452000497921,-119.014116099847,0.18,1,99,5.5,"sand"
"198","Mahogany Creek","riffle",41.5452276850676,-119.014080991317,0.14,1,86,5,"sand"
"199","Summer Camp Creek","riffle",41.5099287810334,-118.983605451203,0.13,1,68,1,"gravel"
"200","Summer Camp Creek","scour_pool",41.5097371413218,-118.983228147813,0.23,1,86,1,"gravel"
"201","Summer Camp Creek","riffle",41.5097545256044,-118.983264625484,0.18,3,77,4,"gravel"
"202","Summer Camp Creek","run",41.5096211478428,-118.983164695015,0.14,1,77,3.5,"gravel"
"203","Summer Camp Creek","riffle",41.5096039701061,-118.983116241478,0.16,2,68,0,"gravel"
"204","Summer Camp Creek","mid-channel",41.5096334550733,-118.982973354269,0.24,1,78,2,"sand"
"205","Summer Camp Creek","riffle",41.5096242464742,-118.982985055435,0.16,0,68,12,"sand"
"206","Summer Camp Creek","mid-channel",41.5094990442532,-118.982933304337,0.22,0,80,1,"sand"
"207","Summer Camp Creek","riffle",41.5095260503553,-118.982934128736,0.14,4,55,14,"gravel"
"208","Summer Camp Creek","run",41.5094814533026,-118.982908802845,0.16,1,78,2,"sand"
"209","Summer Camp Creek","riffle",41.5092102384452,-118.982445200099,0.18,10,78,24,"sand"
"210","Summer Camp Creek","rapid",41.5088888495675,-118.98227962399,0.16,9,88,6.5,"gravel"
"211","Summer Camp Creek","plunge_pool",41.5087389120974,-118.982095316827,0.44,0,76,2,"sand"
"212","Summer Camp Creek","riffle",41.5087384991552,-118.982119268459,0.17,0,80,15.5,"cobble"
"213","Summer Camp Creek","rapid",41.5082567245598,-118.981852945669,0.15,3,80,7,"gravel"
"214","Summer Camp Creek","mid-channel",41.5079288096162,-118.981543392419,0.28,0,79,2,"sand"
"215","Summer Camp Creek","rapid",41.5078124022607,-118.981503895787,0.14,0,74,4.5,"sand"
"216","Summer Camp Creek","riffle",41.507759834792,-118.981418418796,0.13,1,93,0.75,"sand"
"217","Summer Camp Creek","plunge_pool",41.4965106037381,-118.984537581032,0.21,1,73,0,"sand"
"218","Summer Camp Creek","rapid",41.5235172911136,-118.985326897109,0.17,4,72,0.5,"sand"
"219","Summer Camp Creek","plunge_pool",41.5234448613874,-118.985348651989,0.19,1,82,0,"sand"
"220","Summer Camp Creek","rapid",41.5234164072848,-118.985431675671,0.15,3,89,13.4,"sand"
"221","Summer Camp Creek","mid-channel",41.5233902287845,-118.985382935859,0.15,1,86,2,"sand"
"222","Summer Camp Creek","riffle",41.5233904356553,-118.985370957365,0.09,1,84,3.3,"sand"
"223","Summer Camp Creek","scour_pool",41.5232472311365,-118.98531863917,0.17,1,95,1.8,"sand"
"224","Summer Camp Creek","riffle",41.5232355397988,-118.985474083952,0.1,1,84,2,"sand"
"225","Summer Camp Creek","plunge_pool",41.523210395673,-118.985365451962,0.27,1,87,1,"sand"
"226","Summer Camp Creek","rapid",41.5231934260025,-118.985305009138,0.1,5,96,4.8,"sand"
"227","Summer Camp Creek","plunge_pool",41.5231023716806,-118.985362148745,0.15,1,92,0,"sand"
"228","Summer Camp Creek","rapid",41.52311137368,-118.985362424012,0.13,1,89,6,"sand"
"229","Summer Camp Creek","mid-channel",41.5230680185853,-118.985265220201,0.26,0,94,0.75,"sand"
"230","Summer Camp Creek","cascade",41.5222984376417,-119.021159540433,0.2,0,88,3.5,"sand"
"231","Summer Camp Creek","mid-channel",41.5231547286894,-118.98545962795,0.24,0,84,1,"sand"
"232","Summer Camp Creek","plunge_pool",41.5229859662824,-118.985322635022,0.26,1,95,1.65,"sand"
"233","Summer Camp Creek","plunge_pool",41.5229610288534,-118.985202025091,0.28,0,99,0.5,"sand"
"234","Summer Camp Creek","plunge_pool",41.5230600508586,-118.98520505278,0.25,0,99,0,"sand"
"235","Summer Camp Creek","riffle",41.5229798602483,-118.985154661902,0.17,0,87,7.5,"sand"
"236","Summer Camp Creek","cascade",41.5199698817665,-118.985254385403,0.19,2,96,7.25,"sand"
"237","Mahogany Creek","mid-channel",41.5126643597318,-118.955888777485,0.1,0,96,0,"sand"
"238","Mahogany Creek","riffle",41.5126547462808,-118.955924436582,0.1,3,78,7.5,"sand"
"239","Mahogany Creek","scour_pool",41.5126567838221,-118.955804669312,0.13,2,84,0.5,"sand"
"240","Mahogany Creek","riffle",41.5125753567405,-118.955826183099,0.1,0,88,2,"sand"
"241","Mahogany Creek","scour_pool",41.5125239923215,-118.955668859516,0.14,0,94,1.5,"sand"
"242","Mahogany Creek","riffle",41.5125217511806,-118.955800603254,0.1,1,78,0.6,"sand"
"243","Mahogany Creek","debris_pool",41.5125407742527,-118.955741261861,0.12,2,82,0.5,"sand"
"244","Mahogany Creek","riffle",41.5125945835697,-118.95575486495,0.09,2,82,5,"sand"
"245","Mahogany Creek","mid-channel",41.5124188183296,-118.955497933317,0.15,1,93,0.25,"sand"
"246","Mahogany Creek","riffle",41.5124437876492,-118.9556185133,0.1,1,72,0,"sand"
"247","Mahogany Creek","mid-channel",41.5123635829511,-118.955568167212,0.11,1,88,1.5,"sand"
"248","Mahogany Creek","riffle",41.5123447636978,-118.955615531828,0.08,0,71,1.6,"sand"
"249","Mahogany Creek","mid-channel",41.5123177571652,-118.955614718701,0.14,0,71,1.25,"sand"
"250","Mahogany Creek","riffle",41.5123175534379,-118.955626695368,0.08,0,75,2,"sand"
"251","Mahogany Creek","mid-channel",41.5122911580832,-118.955589952253,0.15,0,72,0.5,"gravel"
"252","Mahogany Creek","riffle",41.5123275742401,-118.95556708307,0.08,0,86,1.75,"sand"
"253","Mahogany Creek","plunge_pool",41.5123365764179,-118.955567354105,0.23,0,68,1.25,"sand"
"254","Mahogany Creek","riffle",41.5122649664356,-118.955541232511,0.09,0,74,9.5,"sand"
"255","Mahogany Creek","scour_pool",41.5122195481057,-118.955563830654,0.13,1,66,1.6,"sand"
"256","Mahogany Creek","riffle",41.5121739260478,-118.955598405406,0.08,3,66,2.5,"sand"
"257","Mahogany Creek","riffle",41.536702754398,-118.999899178992,0.15,0,95,5.5,"sand"
"258","Mahogany Creek","riffle",41.5366058178196,-118.999776319181,0.1,2,81,3.5,"gravel"
"259","Mahogany Creek","run",41.5365250091484,-118.999761841806,0.21,0,47,0,"sand"
"260","Mahogany Creek","scour_pool",41.5365237585909,-118.999833726674,0.2,0,94,2.5,"sand"
"261","Mahogany Creek","rapid",41.5365786036969,-118.999787467814,0.13,0,65,5.5,"sand"
"262","Mahogany Creek","run",41.5363803534842,-118.999793345876,0.18,0,74,1.5,"sand"
"263","Mahogany Creek","rapid",41.5363784776069,-118.999901172934,0.19,0,86,0.5,"sand"
"264","Mahogany Creek","run",41.5363493874852,-119.00002014848,0.19,0,84,0,"sand"
"265","Mahogany Creek","mid-channel",41.5362677450493,-119.000053593921,0.25,0,69,0,"gravel"
"266","Mahogany Creek","riffle",41.5362505750496,-119.000005116022,0.13,1,73,2,"sand"
"267","Mahogany Creek","mid-channel",41.5360694948317,-119.000059471179,0.21,0,91,0.25,"sand"
"268","Mahogany Creek","rapid",41.5361699748513,-118.999978657714,0.19,3,58,4,"sand"
"269","Mahogany Creek","scour_pool",41.5358301954601,-118.999836328326,0.21,2,94,0,"sand"
"270","Mahogany Creek","riffle",41.5358854574056,-118.999766108553,0.14,8,79,0.5,"sand"
"271","Mahogany Creek","scour_pool",41.5357165054221,-118.999641031574,0.16,1,79,0,"sand"
"272","Mahogany Creek","rapid",41.5357255073236,-118.999641308943,0.17,1,87,0,"cobble"
"273","Mahogany Creek","scour_pool",41.5356191517127,-118.999542135356,0.18,1,86,0,"sand"
"274","Mahogany Creek","rapid",41.5357370100164,-118.999497818303,0.15,1,80,0,"boulder"
"275","Mahogany Creek","plunge_pool",41.535585436381,-118.999409238897,0.23,0,61,0,"sand"
"276","Mahogany Creek","scour_pool",41.5302521900892,-118.974469711471,0.15,0,96,2,"sand"
"277","Mahogany Creek","run",41.5301816140105,-118.974383662086,0.14,0,98,2,"sand"
"278","Mahogany Creek","riffle",41.5302184452061,-118.974336838012,0.12,1,98,6.5,"sand"
"279","Mahogany Creek","mid-channel",41.530200646857,-118.974324310567,0.21,0,97,2.5,"sand"
"280","Mahogany Creek","scour_pool",41.5301640214176,-118.974359154813,0.39,0,94,3,"sand"
"281","Mahogany Creek","run",41.5301636099143,-118.974383114458,0.14,1,92,2.5,"sand"
"282","Mahogany Creek","mid-channel",41.5302192681894,-118.974288918679,0.2,2,99,2,"sand"
