Flow & Stream Transects,,,,,,,,,,,,,
Date,Reach #,SO,Channel Unit and Type ,Total Width (m),Cross section width,Cross Section Depth ,Velocity,Flow,∑Flow (cms)=,Flow meter,,QAQC,Comments:
6/30/2015,SCC4-15-7,5123,FTRP2,1.2,0.15,0.06,0.09,0.00081,0.0135,UNR,,,"For any depth below 0.08m, velocity was measured at 0.08 mark on wading rod since it couldgo no lower. Tiny eddy within transect that may have affected cell #6 velocity."
6/30/2015,SCC4-15-7,5123,FTRP2,1.2,0.15,0,0,0,0.0135,UNR,,,"For any depth below 0.08m, velocity was measured at 0.08 mark on wading rod since it couldgo no lower. Tiny eddy within transect that may have affected cell #6 velocity."
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0,0,0,0.0117807,SLPT,,,
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0.03,0.12,0.0003852,0.0117807,SLPT,,,
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0.05,0.05,0.0002675,0.0117807,SLPT,,,
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0.05,0.12,0.000642,0.0117807,SLPT,,,
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0.08,0.56,0.0047936,0.0117807,SLPT,,,Negative value due to rocks.
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0.09,0.27,0.0026001,0.0117807,SLPT,,,
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0.08,0,0,0.0117807,SLPT,,,
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0.05,0.05,0.0002675,0.0117807,SLPT,,,
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0.06,0.3,0.001926,0.0117807,SLPT,,,
6/30/2015,SCC5-15-8,5157,FTRP3,1.07,0.107,0.06,0.14,0.0008988,0.0117807,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.05,0,0,0.0178866,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.09,0.26,0.0026676,0.0178866,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.12,0.22,0.0030096,0.0178866,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.14,0.38,0.0060648,0.0178866,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.14,0.34,0.0054264,0.0178866,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.15,0.03,0.000513,0.0178866,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.12,0.01,0.0001368,0.0178866,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.11,0.003,0.00003762,0.0178866,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.09,0.003,0.00003078,0.0178866,SLPT,,,
7/1/2015,MC2-326,106,FTRF10,1.14,0.114,0.05,0,0,0.0178866,SLPT,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0,0,0,0.010125,UNR,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0.05,0,0,0.010125,UNR,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0.06,0.1,0.00054,0.010125,UNR,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0.06,0.08,0.000432,0.010125,UNR,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0.07,0.11,0.000693,0.010125,UNR,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0.1,0.21,0.00189,0.010125,UNR,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0.11,0.33,0.003267,0.010125,UNR,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0.11,0.13,0.001287,0.010125,UNR,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0.09,0.21,0.001701,0.010125,UNR,,,
7/7/2015,SCC3-486,5099,FTRF6,0.9,0.09,0.07,0.05,0.000315,0.010125,UNR,,,
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.03,0,0,0.0047634,SLPT,,,Too shallow. Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.05,0.09,0.000459,0.0047634,SLPT,,,Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.05,0.01,0.000051,0.0047634,SLPT,,,Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.06,0,0,0.0047634,SLPT,,,Behind rock. Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.08,0.1,0.000816,0.0047634,SLPT,,,Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.11,0.15,0.001683,0.0047634,SLPT,,,Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.11,0.08,0.0008976,0.0047634,SLPT,,,Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.06,0.09,0.0005508,0.0047634,SLPT,,,Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.06,0.05,0.000306,0.0047634,SLPT,,,Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/7/2015,SCC2-15-5,5034,FTRP2,1.02,0.102,0.05,0,0,0.0047634,SLPT,,,Behind rock. Depth of 0.15 in - velocity measured at 0.2 in on flow rod handle.
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0,0,0,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0.04,0.09,0.000324,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0.02,0.06,0.000108,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0.04,0.04,0.000144,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0.04,0.05,0.00018,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0.04,0.15,0.00054,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0.04,0.16,0.000576,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
7/9/2015,MC7-817,334,FTRF2,0.9,0.09,0.04,0.08,0.000288,0.00216,UNR,,,"Below 0.06 m depth, can't take flow at 60% depth. Lots of vegetation in wetted width at margins - used the main channel to do flow wetted width and measurements."
